status	note	doi	journal	pmcid	reachable	axes	vocabulary	title
unopened		10.1016/j.bios.2026.118478	Biosensors & bioelectronics		no	11	high-throughput screen	Design and construction of a novel transcription factor-based glycine biosensor for directed enzyme evolution in Escherichia coli.
unopened		10.1016/j.bios.2026.118686	Biosensors & bioelectronics		no	B	high-throughput screen	Stepwise engineering of AmpR-based whole-cell biosensors for broad-spectrum detection and high-throughput screening of β-lactam compounds.
unopened		10.1002/bit.70233	Biotechnology and bioengineering		no	8a,11	site-saturation;saturation mutagenesis	Systematic Engineering of Escherichia coli to Enhance 1,6-Hexamethylenediamine Biosynthesis and Mitigate Byproduct 1,5-Pentanediamine.
unopened		10.1002/bit.70371	Biotechnology and bioengineering		no	11	saturation mutagenesis;alanine scanning;alanine scan	Enhancing d-Pantothenic Acid Production in Corynebacterium glutamicum via Integrating Dynamic Regulation With Structure-Guided Protein Engineering of Ketopantoate Reductase.
unopened		10.1186/s13068-026-02776-0	Biotechnology for biofuels and bioproducts		no	11	high-throughput screen	Engineering of a LysG-derived arginine-specific biosensor for high-throughput screening of arginine overproducers in Corynebacterium glutamicum.
unopened		10.1002/cbic.202500896	Chembiochem : a European journal of chemical biology		no	11	saturation mutagenesis;variant library	Sustainable Biocatalytic Synthesis of Chiral Cyanohydrins Using Engineered Hydroxynitrile Lyases.
unopened		10.1002/cbic.70392	Chembiochem : a European journal of chemical biology		no	11	saturation mutagenesis	Mutant-Initiated Structure-Guided Refinement Enables Second-Generation Compact IscB Genome Editors.
unopened		10.1039/d6sc04510c	Chemical science		no	11	saturation mutagenesis;high-throughput screen	Creating a non-native bio-amidation activity in asparagine synthetase &lt;i&gt;via&lt;/i&gt; biosensor-guided directed evolution for the synthesis of (&lt;i&gt;S&lt;/i&gt;)-2-aminobutyramide.
unopened		10.1002/chem.71224	Chemistry (Weinheim an der Bergstrasse, Germany)		no	11	saturation mutagenesis	Improving the Activity of Phi29 DNA Polymerase by SaProt Prediction.
unopened		10.2174/0113892010481219260630203205	Current pharmaceutical biotechnology		no	11	high-throughput screen	Individualized Biochemical Profiling in Drug Design: Integrating MultiOmics, Nanotechnology, and Machine Learning.
unopened		10.2174/0113892037464437260521205540	Current protein & peptide science		no	8b,11,14	high-throughput screen	Recent developments in intein-mediated protein splicing and their applications in bioengineering.
unopened		10.1016/j.enzmictec.2025.110798	Enzyme and microbial technology		no	11	high-throughput screen	Mechanistic investigation of the enhanced catalytic activity of B. sub lipase A mutant I157V and its application in biodiesel production.
unopened		10.1016/j.enzmictec.2026.110930	Enzyme and microbial technology		no	11	saturation mutagenesis;alanine scanning;alanine scan	Engineering AaADH1 for enhanced catalytic efficiency and solubility via substrate tunnel modulation.
unopened		10.3389/fmicb.2026.1884071	Frontiers in microbiology	PMC13422392	no	14	high-throughput screen	Screening of mutants, enzymatic properties, and scale-up fermentation for catalysis of naringin using recombinant &lt;i&gt;α&lt;/i&gt;-L-rhamnosidase.
unopened		10.1016/j.ijbiomac.2025.149737	International journal of biological macromolecules		no	11,14	saturation mutagenesis	Development of a highly functional thermostable D-amino acid oxidase for efficient L-phosphinothricin biosynthesis using ProteinMPNN-guided engineering.
unopened		10.1016/j.ijbiomac.2026.150336	International journal of biological macromolecules		no	11	saturation mutagenesis;high-throughput screen	Directed evolution of an NAD-preferring shikimate dehydrogenase mutant for enhanced catalytic efficiency.
unopened		10.1016/j.ijbiomac.2026.150551	International journal of biological macromolecules		no	11	mutant library	Distal design improves thermostability and enzyme activity of type III tyrosinase from Nitrosospira.
unopened		10.1016/j.ijbiomac.2026.150813	International journal of biological macromolecules		no	11	saturation mutagenesis;alanine scanning;alanine scan	Engineering the substrate tunnel of diacylglycerol acyltransferase ScDGA1 enhances triacylglycerol biosynthesis in Saccharomyces cerevisiae.
unopened		10.1016/j.ijbiomac.2026.151408	International journal of biological macromolecules		no	11	saturation mutagenesis	Engineering UvsY solubility through local hydrophobic cluster disruption enables enhanced recombination mediator activity.
unopened		10.1016/j.ijbiomac.2026.151855	International journal of biological macromolecules		no	11,A	saturation mutagenesis	Cooperative engineering of distal and proximal domains in L-alanine dehydrogenase breaks activity-stability trade-off for efficient hydroxypyruvic acid synthesis.
unopened		10.1016/j.ijbiomac.2026.152971	International journal of biological macromolecules		no	11	saturation mutagenesis	Mining, enzymatic characterisation and mutagenesis of tagatose 4-epimerase.
unopened		10.1016/j.ijbiomac.2026.152974	International journal of biological macromolecules		no	11	saturation mutagenesis;high-throughput screen	Reprogramming chitosanase specificity via a structure-guided engineering and high-throughput screening platform.
unopened		10.1016/j.ijbiomac.2026.154348	International journal of biological macromolecules		no	11	saturation mutagenesis	An integrated engineering strategy enhances expression and activity of Pseudonocardia thermophila nitrile hydratase in Escherichia coli.
unopened		10.1021/acs.jafc.5c05633	Journal of agricultural and food chemistry		no	11	saturation mutagenesis;mutant library	Rational Molecular Design for Improved ZHD101 Thermal Stability Based on the Introduction of Disulfide Bonds at the Dimer Interface and B-Factor Analysis.
unopened		10.1021/acs.jafc.5c12067	Journal of agricultural and food chemistry		no	11	high-throughput screen	High-Level De Novo Biosynthesis of Difucosyllactose in &lt;i&gt;Escherichia coli&lt;/i&gt; through Application and Engineering of a Novel α-1,3-Fucosyltransferase.
unopened		10.1021/acs.jafc.5c13228	Journal of agricultural and food chemistry		no	11,14	saturation mutagenesis	Molecular Modification of Ribitol Dehydrogenase and Efficient Catalysis of D-Psicose to Allitol.
unopened		10.1021/acs.jafc.5c14135	Journal of agricultural and food chemistry		no	11	high-throughput screen	A Toxin-Antitoxin-Driven Biosensor Platform for the Directed Evolution of d-Allulose 3-Epimerase.
unopened		10.1021/acs.jafc.5c14563	Journal of agricultural and food chemistry		no	11	saturation mutagenesis	Directed Evolution Boosts UGT85A1 Glycosylation for Enhanced Phenylethanoid Glucoside Production.
unopened		10.1021/acs.jafc.5c17759	Journal of agricultural and food chemistry		no	11,A	saturation mutagenesis	Multidimensional Engineering Delivers a High-Performance C11α-Steroid Hydroxylase for Practical Application.
unopened		10.1021/acs.jafc.6c00566	Journal of agricultural and food chemistry		no	11,14	saturation mutagenesis	A Combinatorial Strategy of Semirational Screening and Rational Design for Engineering an α-1,2-Fucosyltransferase toward Efficient 2'-Fucosyllactose Biosynthesis.
unopened		10.1021/acs.jafc.6c00815	Journal of agricultural and food chemistry		no	11	high-throughput screen	Engineering Tryptophan Synthase via In Vivo Directed Evolution for High-Level l-Cysteine Production.
unopened		10.1021/acs.jafc.6c01356	Journal of agricultural and food chemistry		no	8a,11	site-saturation;saturation mutagenesis;alanine scanning;alanine scan	Semirational Engineering of Chitinase Chi1 to Enhance the Catalytic Activity for Efficient Chitin Degradation.
unopened		10.1021/acs.jafc.6c01482	Journal of agricultural and food chemistry		no	11	alanine scanning;alanine scan	Rational Design of Agmatinase SpeB and Spermidine Synthase SpeE Enhances Spermidine Production in Bacillus amyloliquefaciens.
unopened		10.1021/acs.jafc.6c01578	Journal of agricultural and food chemistry		no	11	saturation mutagenesis;alanine scanning;alanine scan	Engineering an l-Threonine Aldolase from &lt;i&gt;Staphylococcus epidermidis&lt;/i&gt; for Enhanced Diastereoselectivity in the Synthesis of a Chloramphenicol Intermediate.
unopened		10.1021/acs.jafc.6c01890	Journal of agricultural and food chemistry		no	11	alanine scanning;alanine scan	Mechanism of Efficient (-)-Epigallocatechin Biosynthesis Catalyzed by &lt;i&gt;Torreya grandis&lt;/i&gt; ANR (TgANR) and Its Protein Engineering Modification.
unopened		10.1021/acs.jafc.6c03371	Journal of agricultural and food chemistry		no	14	mutant library;high-throughput screen	High-Throughput Screening and Mechanistic Elucidation of RhlA Mutants for Enhanced Rhamnolipid Biosynthesis Guided by EGCA-Net and Molecular Dynamics Simulations.
unopened		10.1021/acs.jafc.6c03378	Journal of agricultural and food chemistry		no	11,A	saturation mutagenesis;alanine scanning;alanine scan	"Methyltransferase ""Gating Loop"" Reengineering: Reshaping Catalytic Performance through Tunnel Dynamics and Structural Flexibility."
unopened		10.1021/acs.jafc.6c05870	Journal of agricultural and food chemistry		no	11	saturation mutagenesis	Active Pocket Remodeling Coupled with Substrate Tunnel Engineering of ω-Transaminase CC1012 for Efficient Synthesis of (S)-1-Boc-3-aminopiperidine.
unopened		10.1021/acs.jafc.6c06845	Journal of agricultural and food chemistry		no	11	saturation mutagenesis	Multidimensional Computational Engineering of Pectate Lyase for Enhanced Thermostability and Moderately Improved Catalytic Efficiency.
unopened		10.1021/acs.jctc.6c00821	Journal of chemical theory and computation		no	8a,8b,11	deep mutational scan;mutational scanning	EZPro-Multi: Contrastive Learning-Enhanced Multi-property Prediction for Enzyme Engineering.
unopened		10.1021/jacs.5c19988	Journal of the American Chemical Society		no	11	saturation mutagenesis	Elucidating Leader Peptide-Enzyme Dynamics in Lactazole Biosynthesis Using mRNA Display.
unopened		10.1021/acs.langmuir.5c06158	Langmuir : the ACS journal of surfaces and colloids		no	11	high-throughput screen	3d-Transition Metal Doped Axially Coordinated Phthalocyanine Molecules as Highly Active Electrocatalysts for Oxygen Evolution/Reduction Reactions: A Machine Learning and DFT Study.
unopened		10.3390/metabo16010062	Metabolites	PMC12843657	no	11,A	saturation mutagenesis	Enhancing Caffeic Acid Production in Escherichia coli Through Heterologous Enzyme Combinations and Semi-Rational Design.
unopened		10.3390/microorganisms14040856	Microorganisms	PMC13118911	no	11,A	saturation mutagenesis	Rigidifying Flexible Regions of a Bacterial Laccase Enables High-Temperature Aflatoxin B1 Degradation.
unopened		10.1093/molbev/msag204	Molecular biology and evolution		no	11	saturation mutagenesis	Redesign of energetically frustrated regions rescues function in defective T4 clamp loaders.
unopened		10.1007/s11030-025-11287-3	Molecular diversity		no	11	high-throughput screen	Unveiling molecular signatures for precision drug design: machine learning insights from trypanothione reductase, PKC-θ, and CB1.
unopened		10.1038/s41587-026-03272-4	Nature biotechnology		no	11	fitness landscape	Adaptive model-guided protein evolution with sparse data optimizes compact eukaryotic genome editors.
unopened		10.1038/s41589-026-02224-y	Nature chemical biology		no	8a	deep mutational scan;mutational scanning	Dual E3 ligase recruitment by monovalent degraders for tunable SMARCA 2/4 degradation.
unopened		10.1038/s41589-026-02275-1	Nature chemical biology		no	B	site-saturation;massively parallel	Using enantioselective biosensors to evolve asymmetric biocatalysts.
unopened		10.1038/s41467-026-75283-3	Nature communications		no	8b,11	sequence-function;high-throughput screen	An enzyme-specific protein language model for catalytic property prediction.
unopened		10.1038/s41467-026-75484-w	Nature communications		no	11	high-throughput screen	Towards an enzyme cascade synthesis of the bulk chemical acrylic acid.
unopened		10.1038/s41467-026-76200-4	Nature communications		no	8a,11	site-saturation;saturation mutagenesis	Biosynthetic mechanism and ecological function of chirality in Solanum steroidal alkaloids.
unopened		10.1016/j.xplc.2026.102088	Plant communications		no	11	saturation mutagenesis;mutational landscape	A computational framework integrating a protein language model with alchemical simulation for gain-of-function enzyme design.
unopened		10.1073/pnas.2609822123	Proceedings of the National Academy of Sciences of the United States of America		no	8a,11	deep mutational scan;mutational scanning	A two-factor authentication mechanism licenses pilins for pilus assembly in gram-positive bacteria.
unopened		10.1093/protein/gzag015	Protein engineering, design & selection : PEDS		no	11	mutant library	Free energy-guided Q302P mutation in GH1 β-glucosidase from Aspergillus fumigatus improves enzyme function via catalytic tunnel perturbation.
unopened		10.13345/j.cjb.250384	Sheng wu gong cheng xue bao = Chinese journal of biotechnology		no	11	saturation mutagenesis;variant library;high-throughput screen	[Directed evolution of cellobiose 2-epimerase and its application in the synthesis of lactulose].
unopened		10.13345/j.cjb.260112	Sheng wu gong cheng xue bao = Chinese journal of biotechnology		no	11	saturation mutagenesis;alanine scanning;alanine scan	[Catalytic synthesis of dihydroavenanthramide D by lipase RWL].
unopened		10.13345/j.cjb.260135	Sheng wu gong cheng xue bao = Chinese journal of biotechnology		no	11,B	mutant library	[High-throughput fluorescence-activated droplet sorting of polyethylene terephthalate hydrolases based on fluorescent nanoparticle biosensors].
unopened		10.1002/smll.202510977	Small (Weinheim an der Bergstrasse, Germany)		no	11	high-throughput screen	AI-Guided Droplet Microreactors Enable Rapid and Reproducible Protein Crystallization.
unopened		10.1016/j.talanta.2026.130063	Talanta		no	11	high-throughput screen	Fluoro4Graphene: A fluorogenic high-throughput screening platform for property engineering of graphene binding peptides.
unopened		10.1016/j.tibtech.2025.08.008	Trends in biotechnology		no	8b,11	high-throughput screen	In vivo continuous evolution via phenotypic sorting to alleviate metabolic bottlenecks in β-alanine production.
unreachable	Europe PMC stub, fullTextXML 404	10.1002/bit.70150	Biotechnology and bioengineering	PMC13003428	yes	8a,11	saturation mutagenesis	Engineering of 2-ketoacid Decarboxylases for Production of Isobutanol and Other Fusel Alcohols in Saccharomyces cerevisiae.
unreachable	Europe PMC stub, fullTextXML 404	10.1002/cbic.70468	Chembiochem : a European journal of chemical biology	PMC13398032	yes	11	fitness landscape	Density Functional Theory Charge Delocalization Error Determines Computed Activation Barriers in Enzymatic Kemp Elimination.
rejected	saturation at one residue, Arg121	10.1021/acscatal.5c08164	ACS catalysis	PMC12887932	yes	8a,11	site-saturation;saturation mutagenesis;alanine scanning;alanine scan	Unveiling the Transgalactosylation Switch of a GH42 β‑Galactosidase from the Infant Isolate &lt;i&gt;Bifidobacterium breve&lt;/i&gt; DSM20213.
rejected	77 homologues plus designs, no single wild type	10.1021/acssuschemeng.6c01404	ACS sustainable chemistry & engineering	PMC13292399	yes	8a,11	saturation mutagenesis	Engineering and Application of a Thermostable MHETase for PET Depolymerization.
rejected	26 natural substitutions, not a library	10.1021/acssynbio.5c00828	ACS synthetic biology	PMC13185158	yes	8b,11	high-throughput screen	Multidomain DNA-Protein Mining Reveals Polymorphic Variations in RhlB Enhancing Monorhamnolipid Biosynthesis.
rejected	bimetallic catalysts, not a protein	10.1002/advs.202524394	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	PMC13325640	yes	11	high-throughput screen	High-Throughput Screening and Interpretable Machine Learning for Rational Design of Bimetallic Catalysts for Methane Activation.
rejected	40 screened, 4-mutation champion	10.1002/anie.1402106	Angewandte Chemie (International ed. in English)		no	11	fitness landscape	Machine-Learning-Enabled Rapid Evolution of Photoenzymes for the Asymmetric Synthesis of gem-Difluorophosphonates.
rejected	structural study, two mutants	10.1128/aem.00417-26	Applied and environmental microbiology	PMC13188850	yes	11	saturation mutagenesis	Deciphering functional diversity and structural determinants of substrate specificity in fungal glycoside hydrolase family 5_5 cellulases.
rejected	method paper, reuses OCT1/MET/Domainome/ProteinGym	10.1093/bioadv/vbaf218	Bioinformatics advances	PMC12809776	yes	8a,11	deep mutational scan;mutational scanning	Rosace-AA: enhancing interpretation of deep mutational scanning data with amino acid substitution and position-specific insights.
rejected	Europe PMC record is a stub	10.1002/bit.70239	Biotechnology and bioengineering	PMC13397254	yes	14	mutant library	Engineering a Novel Cofactor-Versatile Short-Chain Dehydrogenase for Efficient Synthesis of Chiral Alcohols.
rejected	method paper, nine DMS datasets from elsewhere	10.1093/bib/bbag279	Briefings in bioinformatics	PMC13256232	yes	8a	deep mutational scan;mutational scanning	Deep Prior Framework: integrating functional specificity with general plausibility for targeted protein evolution.
rejected	four single-position scans	10.1002/cbic.70459	Chembiochem : a European journal of chemical biology	PMC13343204	yes	8b,11	high-throughput screen	Trylons: Polyamide Surrogate Substrates Enable High-Throughput Screening of Nylon-Degrading Enzymes.
rejected	ML on published biodegradation data	10.1039/d5sc05380c	Chemical science	PMC12645284	yes	11	high-throughput screen	Explainable random forest predictions of polyester biodegradability using high-throughput biodegradation data.
rejected	1,330 mutants generated in silico; 4 tested, one champion	10.34133/csbj.0073	Computational and structural biotechnology journal	PMC13237489	yes	8b,11	mutant library	Family-Specialized Transformer for L-cystathionine gamma-lyase Engineering and Its Structural Interpretation.
rejected	209 virtual designs, 18 built	10.1016/j.foodres.2026.119535	Food research international (Ottawa, Ont.)		no	11,14	saturation mutagenesis	Rational design for improved thermostability of methionine adenosyltransferase based on FoldX, Rosetta, and multidimensional virtual screening.
rejected	eight virtual designs	10.3390/foods15122178	Foods (Basel, Switzerland)	PMC13297978	yes	11	saturation mutagenesis	Computer-Aided Virtual Saturation Mutagenesis Improves the Lignocellulose-Degrading Performance of an &lt;i&gt;Aspergillus niger&lt;/i&gt; LPMO.
rejected	FKBP1a is human; library-construction method	10.1093/g3journal/jkag006	G3 (Bethesda, Md.)	PMC12958811	yes	8a	mutational scanning	Deep-mutational scanning libraries using Tiled-Region Exchange mutagenesis.
rejected	hirudin peptides, not an enzyme variant series	10.1016/j.jare.2025.04.045	Journal of advanced research	PMC12869248	yes	11	saturation mutagenesis	Construction of safer hirudin-derived peptides with enhanced anticoagulant properties based on C-terminal active residue adaptation and modification.
rejected	saturation at one residue, Gly374	10.1021/acs.jafc.6c02580	Journal of agricultural and food chemistry	PMC13088237	yes	11	saturation mutagenesis	Modulation of Fructose Transfer Process for Promoting Apparent Isomerization Activity of Amylosucrase from &lt;i&gt;Bifidobacterium thermophilum&lt;/i&gt;.
rejected	champion shape	10.1186/s13036-026-00665-6	Journal of biological engineering	PMC13130800	yes	8b,11	high-throughput screen	Biosensor-guided directed evolution of aldehyde dehydrogenase for improved adipic acid production from caprolactone.
rejected	no datasets generated, per its own statement	10.1186/s12934-026-02929-8	Microbial cell factories	PMC12933989	yes	11	saturation mutagenesis	Combining computer-aided enzyme design and chromosomal integration for plasmid-free biosynthesis of 1,5-pentanediol in Escherichia coli.
rejected	10,000 screened to a champion; library is in silico	10.1186/s12934-026-02978-z	Microbial cell factories	PMC13085578	yes	11	saturation mutagenesis	A combined strategy for high-efficiency expression of alkaline protease PrtA in Komagataella phaffii (syn. Pichia pastoris).
rejected	20 mutants, data only in the article figures	10.3390/microorganisms14050954	Microorganisms	PMC13209251	yes	11	high-throughput screen	Deep Learning-Guided Engineering of &lt;i&gt;Bst&lt;/i&gt; DNA Polymerase Improves LAMP-Based Detection of Foodborne Pathogens.
rejected	no per-variant table	10.3390/molecules31111787	Molecules (Basel, Switzerland)	PMC13258316	yes	11	alanine scanning;alanine scan	A Substrate-Dependent Bifunctional Dioxygenase from &lt;i&gt;Fraxinus chinensis&lt;/i&gt; for &lt;i&gt;O&lt;/i&gt;-Demethylation and C8-Hydroxylation of Coumarins.
rejected	35 de novo designs, no shared wild type	10.1038/s41586-025-09747-9	Nature	PMC12727513	yes	11	high-throughput screen	Computational enzyme design by catalytic motif scaffolding.
rejected	EnzEngDB, a database not a campaign	10.1093/nar/gkaf1142	Nucleic acids research	PMC12807667	yes	8b,11	sequence-function	Enzyme Engineering Database (EnzEngDB): a platform for sharing and interpreting sequence-function relationships across protein engineering campaigns.
rejected	base editing, not a protein variant library	10.1093/nar/gkaf1423	Nucleic acids research	PMC12802905	yes	11	saturation mutagenesis	Triple base editor catalyzes saturation mutation of adenine, cytidine, and guanine.
rejected	method paper, FeatureDCA	10.1371/journal.pcbi.1013996	PLoS computational biology	PMC12935303	yes	8a,11	deep mutational scan;mutational scanning	Controllable protein design via autoregressive direct coupling analysis conditioned on principal components.
rejected	no per-variant table, SI PDF only	10.1039/d6cb00090h	RSC chemical biology	PMC13205129	yes	8a,11	site-saturation;saturation mutagenesis	Application of the YebF secretion pathway in &lt;i&gt;Escherichia coli&lt;/i&gt; for rapid, on-plate screening of PETase libraries for improved activity.
rejected	assay-method paper	10.1039/d6cb00122j	RSC chemical biology	PMC13126315	yes	8b,11,B	high-throughput screen	A fluorescence-activated droplet sorting assay for ultra-high-throughput screening of PET hydrolases based on a pH indicator.
rejected	prime editing in human cells	10.1126/sciadv.ady7359	Science advances	PMC13240188	yes	11	saturation mutagenesis;high-throughput screen	Uncovering functional variants using a high-efficiency PE3-based screening platform.
rejected	champion shape	10.1016/j.synbio.2025.12.010	Synthetic and systems biotechnology	PMC12804158	yes	11	saturation mutagenesis	SPIN-guided engineering of a novel (&lt;i&gt;R&lt;/i&gt;)-amine transaminase from &lt;i&gt;Fusarium albosuccineum&lt;/i&gt; for enantioselective synthesis of chiral piperidyl amines.
rejected	1504 clones screened to 23 then a champion	10.1016/j.synbio.2026.03.019	Synthetic and systems biotechnology	PMC13090716	yes	11	high-throughput screen	Two-step bioconversion of pyridoxal 5'-phosphate from pyridoxine through cofactor regeneration and pyridoxine 5'-phosphate oxidase evolution.
rejected	instrument paper; data upon request	10.1039/d6an00065g	The Analyst	PMC12990301	yes	11	high-throughput screen	Utilizing Venturi effect for automated high-throughput droplet-MS from well plates.
rejected	assay-method paper	10.1016/j.jbc.2026.113135	The Journal of biological chemistry	PMC13264166	yes	11	high-throughput screen	A high-sensitivity strategy to screen NAD(P)H-dependent reductase activity by coupled enzyme cascade.
